product_id,ingredient_id
160,30
160,11
160,51
160,32
160,10
160,52
160,34
160,12
160,53
160,33
160,13
160,54
160,36
160,14
160,1
160,35
160,15
160,56
160,37
160,18
160,58
160,38
160,16
160,39
160,17
160,59
160,40
160,20
160,44
160,19
160,41
160,23
160,60
160,42
160,21
160,7
160,61
160,43
160,22
160,3
160,26
160,24
160,4
160,62
160,57
160,25
160,5
160,46
160,27
160,6
160,63
160,55
160,45
160,47
160,28
160,48
160,2
160,29
160,8
160,49
160,31
160,9
160,50
164,13
164,153
164,157
164,132
164,49
164,143
164,161
164,174
164,145
164,50
164,172
164,89
164,129
164,165
164,156
164,17
164,175
164,117
164,168
164,177
164,146
164,144
164,3
164,53
164,57
164,176
164,39
164,148
164,167
164,163
164,147
164,181
164,170
164,149
164,138
164,88
164,159
164,173
164,142
164,137
164,162
164,158
164,2
164,152
164,155
164,139
164,169
164,52
164,178
164,87
164,41
164,141
164,92
164,45
164,179
164,150
164,171
164,164
164,180
164,160
164,112
164,37
164,151
164,140
164,154
164,125
164,182
164,166
165,183
165,184
165,186
165,185
165,187
167,183
167,184
167,186
167,185
167,187
169,53
169,180
169,17
169,12
169,278
169,279
169,176
169,37
169,45
169,38
169,281
169,29
169,282
169,128
169,280
169,86
169,117
169,283
169,50
169,48
169,120
169,13
169,129
169,171
169,49
169,54
169,42
169,14
170,88
170,270
170,53
170,9
170,269
170,299
170,54
170,37
170,295
170,286
170,285
170,39
170,120
170,113
170,51
170,17
170,294
170,255
170,290
170,292
170,289
170,293
170,49
170,296
170,117
170,23
170,48
170,2
170,178
170,31
170,166
170,156
170,14
170,128
170,3
170,287
170,284
170,100
170,50
170,41
170,142
170,153
170,297
170,46
170,291
170,298
170,13
170,288
170,276
171,48
171,9
171,15
171,301
171,51
171,310
171,80
171,303
171,41
171,49
171,308
171,37
171,54
171,52
171,39
171,148
171,12
171,311
171,304
171,42
171,302
171,128
171,46
171,307
171,300
171,305
171,50
171,17
171,13
171,124
171,309
171,125
171,306
171,120
171,132
171,117
171,136
172,129
172,89
172,144
172,321
172,117
172,317
172,31
172,35
172,325
172,17
172,50
172,314
172,53
172,40
172,37
172,52
172,324
172,9
172,319
172,327
172,128
172,8
172,320
172,166
172,318
172,171
172,316
172,181
172,42
172,313
172,36
172,41
172,322
172,255
172,38
172,3
172,34
172,48
172,87
172,315
172,312
172,54
172,18
172,39
172,49
172,13
172,326
172,323
172,45
172,178
173,148
173,335
173,110
173,113
173,343
173,2
173,334
173,53
173,300
173,51
173,338
173,329
173,117
173,109
173,315
173,342
173,328
173,337
173,54
173,336
173,108
173,9
173,52
173,340
173,13
173,125
173,331
173,42
173,31
173,272
173,17
173,45
173,144
173,278
173,255
173,333
173,339
173,341
173,188
173,178
173,330
173,14
173,332
173,120
173,111
173,285
173,48
174,355
174,350
174,220
174,244
174,359
174,120
174,345
174,361
174,351
174,346
174,217
174,238
174,349
174,348
174,246
174,347
174,354
174,363
174,211
174,222
174,240
174,225
174,357
174,360
174,364
174,208
174,243
174,356
174,362
174,215
174,236
174,353
174,352
174,358
174,344
175,13
175,41
175,113
175,180
175,178
175,370
175,173
175,54
175,17
175,50
175,49
175,299
175,117
175,53
175,375
175,261
175,42
175,52
175,367
175,369
175,124
175,51
175,368
175,155
175,48
175,18
175,12
175,312
175,166
175,181
175,365
175,39
175,371
175,373
175,9
175,35
175,366
175,38
175,34
175,46
175,374
175,372
175,45
175,125
175,37
175,136
175,3
176,125
176,87
176,49
176,300
176,50
176,107
176,128
176,151
176,42
176,52
176,12
176,381
176,382
176,54
176,13
176,117
176,120
176,48
176,383
176,181
176,379
176,53
176,31
176,34
176,39
176,376
176,51
176,278
176,37
176,264
176,9
176,377
176,17
176,41
176,45
176,380
176,378
176,46
177,390
177,386
177,52
177,395
177,180
177,392
177,117
177,50
177,26
177,151
177,158
177,46
177,49
177,6
177,264
177,128
177,51
177,394
177,36
177,176
177,2
177,397
177,113
177,37
177,393
177,13
177,385
177,396
177,145
177,41
177,27
177,87
177,29
177,387
177,35
177,17
177,125
177,391
177,384
177,388
177,39
177,15
177,3
177,174
177,42
177,40
177,389
177,59
177,12
177,54
177,45
177,32
177,53
177,34
178,423
178,430
178,414
178,403
178,420
178,400
178,408
178,409
178,410
178,406
178,427
178,418
178,413
178,428
178,419
178,422
178,401
178,416
178,424
178,415
178,398
178,402
178,429
178,421
178,425
178,412
178,407
178,404
178,399
178,426
178,411
178,405
178,417
179,449
179,456
179,52
179,326
179,31
179,460
179,334
179,174
179,443
179,446
179,17
179,453
179,439
179,461
179,459
179,48
179,454
179,438
179,13
179,434
179,24
179,445
179,117
179,437
179,442
179,455
179,12
179,171
179,436
179,447
179,125
179,444
179,45
179,448
179,431
179,14
179,129
179,452
179,451
179,29
179,53
179,440
179,47
179,386
179,433
179,54
179,432
179,50
179,450
179,276
179,252
179,457
179,441
179,458
179,158
179,286
179,435
180,13
180,437
180,31
180,471
180,468
180,117
180,151
180,42
180,38
180,465
180,2
180,464
180,338
180,463
180,469
180,466
180,54
180,472
180,140
180,45
180,52
180,467
180,89
180,462
180,40
180,473
180,178
180,470
180,313
180,35
180,334
180,148
180,173
180,272
180,36
180,316
180,372
180,48
180,144
180,53
181,52
181,142
181,38
181,12
181,53
181,136
181,276
181,36
181,51
181,167
181,135
181,477
181,173
181,474
181,10
181,287
181,45
181,50
181,49
181,475
181,261
181,58
181,56
181,166
181,178
181,109
181,285
181,478
181,110
181,284
181,57
181,290
181,479
181,2
181,298
181,476
181,17
181,108
181,371
181,462
181,125
181,9
181,26
181,180
181,176
181,181
181,42
181,25
181,54
181,111
181,13
181,48
181,120
181,46
181,117
181,3
182,305
182,311
182,482
182,153
182,308
182,12
182,3
182,132
182,2
182,18
182,128
182,80
182,13
182,89
182,52
182,88
182,48
182,6
182,306
182,87
182,120
182,37
182,49
182,148
182,51
182,39
182,50
182,307
182,310
182,144
182,152
182,54
182,117
182,17
182,483
182,365
182,481
182,41
182,46
182,136
182,15
182,9
182,42
182,480
183,13
183,34
183,495
183,484
183,17
183,46
183,45
183,494
183,431
183,54
183,499
183,490
183,42
183,496
183,493
183,492
183,49
183,372
183,51
183,486
183,53
183,491
183,497
183,117
183,12
183,151
183,9
183,125
183,498
183,50
183,37
183,39
183,487
183,489
183,485
183,488
183,178
183,31
183,48
184,45
184,38
184,52
184,336
184,120
184,40
184,501
184,502
184,47
184,503
184,470
184,17
184,374
184,125
184,107
184,272
184,35
184,42
184,54
184,260
184,500
184,338
184,117
184,48
184,264
184,13
184,53
185,49
185,41
185,34
185,13
185,100
185,134
185,505
185,117
185,120
185,45
185,510
185,39
185,508
185,504
185,506
185,18
185,507
185,509
186,520
186,46
186,511
186,517
186,51
186,519
186,53
186,260
186,9
186,17
186,42
186,512
186,48
186,513
186,50
186,516
186,120
186,52
186,521
186,13
186,117
186,518
186,54
186,47
186,514
186,305
186,515
187,36
187,120
187,53
187,42
187,107
187,264
187,510
187,125
187,48
187,336
187,522
187,54
187,501
187,180
187,470
187,176
187,304
187,272
187,17
187,13
187,338
187,500
187,47
187,12
187,45
187,117
187,267
188,260
188,117
188,126
188,264
188,120
188,531
188,17
188,40
188,38
188,532
188,48
188,164
188,524
188,53
188,526
188,47
188,530
188,36
188,504
188,529
188,151
188,35
188,13
188,287
188,514
188,527
188,525
188,14
188,523
188,501
188,52
188,528
189,535
189,125
189,46
189,49
189,120
189,260
189,110
189,52
189,128
189,13
189,51
189,517
189,513
189,48
189,176
189,42
189,54
189,500
189,533
189,107
189,17
189,534
189,50
189,12
189,40
189,45
189,117
190,45
190,538
190,272
190,42
190,120
190,264
190,9
190,117
190,110
190,53
190,52
190,537
190,40
190,515
190,467
190,48
190,502
190,517
190,50
190,10
190,514
190,377
190,54
190,13
190,536
190,469
190,176
190,539
190,470
191,45
191,52
191,9
191,541
191,272
191,264
191,17
191,66
191,523
191,38
191,338
191,540
191,48
191,40
191,542
191,13
191,470
191,47
191,54
191,377
191,35
191,36
191,514
191,469
191,117
191,513
191,515
192,545
192,348
192,215
192,233
192,235
192,225
192,228
192,544
192,552
192,350
192,553
192,247
192,345
192,214
192,223
192,548
192,551
192,226
192,543
192,358
192,546
192,217
192,344
192,549
192,120
192,220
192,356
192,205
192,547
192,227
192,550
193,50
193,34
193,554
193,484
193,17
193,305
193,18
193,507
193,505
193,39
193,120
193,100
193,49
193,558
193,117
193,12
193,506
193,13
193,557
193,555
193,509
193,556
193,508
194,108
194,18
194,372
194,563
194,113
194,305
194,559
194,506
194,504
194,564
194,505
194,560
194,562
194,111
194,50
194,565
194,100
194,484
194,49
194,508
194,13
194,52
194,561
194,507
195,569
195,567
195,13
195,50
195,571
195,118
195,572
195,34
195,17
195,18
195,555
195,45
195,117
195,100
195,39
195,570
195,513
195,568
195,509
195,523
195,556
195,566
195,557
195,12
196,576
196,547
196,584
196,543
196,227
196,582
196,220
196,120
196,573
196,585
196,350
196,578
196,228
196,358
196,551
196,579
196,356
196,191
196,243
196,223
196,217
196,574
196,230
196,580
196,581
196,225
196,192
196,244
196,214
196,577
196,246
196,200
196,236
196,204
196,575
196,248
196,583
196,586
196,360
196,249
196,241
196,345
196,240
196,347
196,238
196,247
197,42
197,39
197,188
197,592
197,49
197,46
197,591
197,52
197,300
197,45
197,589
197,125
197,376
197,17
197,379
197,178
197,37
197,13
197,12
197,588
197,47
197,496
197,590
197,34
197,41
197,14
197,50
197,587
198,596
198,376
198,175
198,52
198,598
198,595
198,300
198,53
198,599
198,45
198,589
198,51
198,125
198,46
198,41
198,173
198,12
198,379
198,188
198,593
198,34
198,17
198,587
198,50
198,117
198,42
198,597
198,594
198,37
198,13
198,170
198,39
198,446
198,49
