id,name,description,nutritional_value,common_allergens
1,Organic Chicken,,,
2,Chicken Meal,,,
3,Turkey Meal,,,
4,Potato Protein,,,
5,Meat Protein Isolate,,,
6,Chicken Fat (preserved with Mixed Tocopherols),,,
7,Gelatin,,,
8,Dried Plain Beet Pulp,,,
9,Natural Flavor,,,
10,Coconut Oil,,,
11,Chia Seeds,,,
12,Salt,,,
13,Taurine,,,
14,Calcium Carbonate,,,
15,Dried Tomato Pomace,,,
16,Calcium Propionate (a preservative),,,
17,Choline Chloride,,,
18,Dried Kelp,,,
19,Organic Barley Grass Powder,,,
20,Dried Blueberry Powder,,,
21,Dried Yogurt,,,
22,Apple Pectin,,,
23,Dried Kale,,,
24,Dried Spinach,,,
25,Dried Carrots,,,
26,Fish Oil,,,
27,Yeast Extract,,,
28,Citric Acid (a preservative),,,
29,Inulin,,,
30,Mixed Tocopherols (a preservative),,,
31,Rosemary Extract,,,
32,Yeast Culture,,,
33,Minerals (Potassium Chloride,,,
34,Zinc Proteinate,,,
35,Zinc Sulfate,,,
36,Ferrous Sulfate,,,
37,Iron Proteinate,,,
38,Copper Sulfate,,,
39,Copper Proteinate,,,
40,Manganese Sulfate,,,
41,Manganese Proteinate,,,
42,Sodium Selenite,,,
43,Calcium Iodate),,,
44,Vitamins (Ascorbic Acid [source of Vitamin C],,,
45,Vitamin E Supplement,,,
46,Niacin Supplement,,,
47,Calcium Pantothenate,,,
48,Vitamin A Supplement,,,
49,Thiamine Mononitrate,,,
50,Pyridoxine Hydrochloride,,,
51,Riboflavin Supplement,,,
52,Vitamin D3 Supplement,,,
53,Biotin,,,
54,Vitamin B12 Supplement,,,
55,Folic Acid),,,
56,Dried Aspergillus Oryzae Fermentation Product,,,
57,Dried Enterococcus Faecium Fermentation Product,,,
58,Dried Lactobacillus Casei Fermentation Product,,,
59,Dried Lactobacillus acidophilus Fermentation Product,,,
60,Dried Bacillus Subtilis Fermentation Product,,,
61,Dried Lactobacillus Plantarum Fermentation Product,,,
62,Dried Lactobacillus Lactis Fermentation Product,,,
63,Pepper.,,,
66,Salmon,,,
80,Montmorillonite Clay,,,
86,Chicken Gizzards,,,
87,Cranberries,,,
88,Blueberries,,,
89,Salmon Oil,,,
92,Alfalfa,,,
100,New Zealand Green Mussel,,,
107,Magnesium Sulfate,,,
108,Zinc Amino Acid Complex,,,
109,Iron Amino Acid Complex,,,
110,Copper Amino Acid Complex,,,
111,Manganese Amino Acid Complex,,,
112,Sodium Selenite),,,
113,DL-Methionine,,,
117,Folic Acid,,,
118,Vitamin D3 Supplement),,,
120,Chicken,,,
124,Ground Flaxseed,,,
125,Potassium Chloride,,,
126,Fructooligosaccharides,,,
128,d-Calcium Pantothenate,,,
129,Riboflavin,,,
132,Minerals (Zinc Proteinate,,,
134,Magnesium Oxide,,,
135,Mixed Tocopherols (Preservative),,,
136,Rosemary Extract.,,,
137,De-Boned Chicken,,,
138,De-Boned Turkey,,,
139,Duck Meal,,,
140,Salmon Meal,,,
141,De-Boned Trout,,,
142,Chicken Fat (Preserved With Mixed Tocopherols),,,
143,Natural Fish Flavor,,,
144,Peas,,,
145,Potatoes,,,
146,Whole Dried Egg,,,
147,Potato Flour,,,
148,Tapioca,,,
149,De-Boned Salmon,,,
150,De-Boned Duck,,,
151,Pumpkin,,,
152,Apples,,,
153,Carrots,,,
154,Bananas,,,
155,Lentils,,,
156,Broccoli,,,
157,Cottage Cheese,,,
158,Sweet Potatoes,,,
159,Blackberries,,,
160,Squash,,,
161,Papayas,,,
162,Pomegranate,,,
163,Phosphoric Acid,,,
164,Sodium Chloride,,,
165,Dl-Methionine,,,
166,Dried Chicory Root,,,
167,Dried Lactobacillus Acidophilus Fermentation Product,,,
168,Dried Aspergillus Oryzae Fermentation Extract,,,
169,Dried Bacillus Subtilis Fermentation Extract,,,
170,Vitamins (Vitamin A Supplement,,,
171,Niacin,,,
172,L-Ascorbyl-2-Polyphosphate (A Source Of Vitamin C),,,
173,D-Calcium Pantothenate,,,
174,Beta-Carotene,,,
175,Vitamin B12 Supplement),,,
176,Zinc Oxide,,,
177,Copper Sulphate,,,
178,Calcium Iodate,,,
179,Ferrous Sulphate,,,
180,Manganous Oxide,,,
181,Yucca Schidigera Extract,,,
182,Dried Rosemary.,,,
183,When evaluating a cat food,,,
184,the first five ingredients can tell you a lot about the quality of a product as they make up the bulk of the product. Ideally,,,
185,you're looking for quality protein sources with a minimum of cheap starches,,,
186,fillers or by-products. Continuing down the ingredient list,,,
187,look for ingredients that resemble real food with a minimal number of unpronounceable chemicals - the same as you would for human food.,,,
188,Turkey,,,
191,chicken meal,,,
192,peas,,,
200,chicken fat (preserved with mixed tocopherols),,,
204,duck,,,
205,flaxseed,,,
208,carrots,,,
211,pumpkin,,,
214,salt,,,
215,potassium chloride,,,
217,taurine,,,
220,niacin supplement,,,
222,calcium carbonate,,,
223,pyridoxine hydrochloride,,,
225,folic acid,,,
226,calcium pantothenate,,,
227,thiamine mononitrate,,,
228,riboflavin supplement,,,
230,biotin,,,
233,manganese sulfate,,,
235,magnesium sulfate,,,
236,zinc proteinate,,,
238,manganese proteinate,,,
240,magnesium proteinate,,,
241,copper proteinate,,,
243,cranberries,,,
244,yucca schidigera extract,,,
246,blueberries,,,
247,sodium selenite,,,
248,dried Pediococcus acidilactici fermentation product,,,
249,dried Lactobacillus acidophilus fermentation product,,,
252,Dehydrated Chicken,,,
255,Flaxseed,,,
260,Tricalcium Phosphate,,,
261,Dried Cranberries,,,
264,Potassium Iodide,,,
267,Copper Amino Acid Chelate,,,
269,Sodium Selenite],,,
270,Vitamins [Vitamin E Supplement,,,
272,Thiamine Mononitrate (Vitamin B1),,,
276,Turmeric,,,
278,Chicken Liver,,,
279,Green Lipped Mussel,,,
280,Fish Oil (preserved with Mixed Tocopherols),,,
281,Natural Flavoring,,,
282,Brewer’s Yeast,,,
283,Mixed Tocopherols,,,
284,Garbanzo Beans,,,
285,Pea Protein,,,
286,Pea Fiber,,,
287,Tapioca Starch,,,
288,Salmon Oil (Preserved With Mixed Tocopherols),,,
289,Turkey Hearts,,,
290,Dried Sweet Potatoes,,,
291,Vitamin D3 Supplement],,,
292,Minerals [Zinc Proteinate,,,
293,Dried Aspergillus oryzae Fermentation Product (Source Of Amylase,,,
294,Lipase and Protease),,,
295,Mixed Tocopherols And Citric Acid (Preservatives),,,
296,Dried Goat Milk,,,
297,Pineapple Stems,,,
298,Dried Pumpkin,,,
299,Dried Bacillus Coagulans Fermentation Product,,,
300,Duck,,,
301,Chicken Eggs,,,
302,Canola Oil (preserved with Mixed Tocopherols and Citric Acid),,,
303,Dried Whey Protein Concentrate,,,
304,Dicalcium Phosphate,,,
305,Vitamins (Vitamin E Supplement,,,
306,L-Ascorbyl-2-Polyphosphate,,,
307,Biotin),,,
308,Ethylenediamine Dihydriodide),,,
309,Freeze Dried Duck (including Freeze Dried Ground Duck Bone),,,
310,Pumpkinseeds,,,
311,Dried Bacillus coagulans Fermentation Product,,,
312,Deboned Turkey,,,
313,Deboned Chicken,,,
314,Chicken Meal (source of Glucosamine and Chondroitin Sulfate),,,
315,Chicken Fat,,,
316,Herring Meal,,,
317,Dried Ground Potatos,,,
318,Calcium Chloride,,,
319,Hydrolyzed Yeast,,,
320,Mixed Tocopherols added to preserve freshness,,,
321,Vitamin C (L-ascorbyl-2-polyphosphate),,,
322,Vitamin C (Ascorbic Acid),,,
323,Dried Enterococcus faecium Fermentation Product,,,
324,Dried Bacillus licheniformis Fermentation Product,,,
325,Dried Bacillus subtilis Fermentation Product,,,
326,Green Tea Extract,,,
327,"Spearmint Extract.
This is a naturally preserved product
Manufactured in a facility that also processes grains",,,
328,Eggs,,,
329,Fish Meal,,,
330,Fava Beans,,,
331,Green-lipped Mussel,,,
332,Manuka Honey,,,
333,Kiwifruit,,,
334,Brewers Dried Yeast,,,
335,Natural Buffered Vinegar,,,
336,Niacin (Vitamin B3),,,
337,d-Calcium Pantothenate (Vitamin B5),,,
338,Pyridoxine Hydrochloride (Vitamin B6),,,
339,Cobalt Sulfate,,,
340,Vitamin K1 Supplement,,,
341,Mixed Tocopherols (for added freshness),,,
342,Tea Extract,,,
343,Spearmint Extract,,,
344,chicken broth,,,
345,natural chicken flavor,,,
346,agar agar,,,
347,dandelion greens,,,
348,tricalcium phosphate,,,
349,vitamins [vitamin E supplement,,,
350,vitamin A supplement,,,
351,calcium pantothenate (vitamin B5),,,
352,thiamine mononitrate (vitamin B1),,,
353,riboflavin (vitamin B2),,,
354,pyridoxine hydrochloride (vitamin B6),,,
355,biotin (vitamin B7),,,
356,vitamin B12 supplement,,,
357,vitamin D3 supplement],,,
358,choline chloride,,,
359,minerals [copper proteinate,,,
360,iron proteinate,,,
361,potassium iodide,,,
362,sodium selenite],,,
363,turmeric,,,
364,salmon oil.,,,
365,Menhaden Fish Meal,,,
366,Whole Peas,,,
367,Chicken Fat (Preserved With Mixed Tocopherols & Citric Acid),,,
368,Deboned Cod,,,
369,Sweet Potato,,,
370,Deboned Duck,,,
371,Ground Miscanthus Grass,,,
372,Chickpeas,,,
373,L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C),,,
374,Iron Sulfate,,,
375,Ethylenediamine Dihydroiodide,,,
376,Duck Broth,,,
377,Tuna,,,
378,Guar Gum,,,
379,Agar-Agar,,,
380,Menhaden Fish Oil (preserved with Mixed Tocopherols),,,
381,Tomato,,,
382,Kelp,,,
383,Sodium Carbonate,,,
384,Egg Product,,,
385,Field Peas,,,
386,Natural Flavors,,,
387,Whitefish Meal,,,
388,Flaxseed Meal,,,
389,Sodium Bisulfate,,,
390,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),,,
391,Dog Grass Extract,,,
392,Alfalfa Sprouts,,,
393,Inositol,,,
394,Vitamin A Acetate,,,
395,Dried Lactobacillus casei Fermentation Product,,,
396,Dried Bifidobacterium animalis Fermentation Product,,,
397,Dried Lactobacillus reuteri Fermentation Product,,,
398,PORK,,,
399,DUCK,,,
400,PORK BROTH,,,
401,PORK LIVER,,,
402,GROUND FLAXSEED,,,
403,SUNFLOWER OIL,,,
404,FISH OIL (PRESERVED WITH MIXED TOCOPHEROLS),,,
405,TRICALCIUM PHOSPHATE,,,
406,NEW ZEALAND GREEN MUSSEL,,,
407,POTASSIUM CHLORIDE,,,
408,TAURINE,,,
409,SALT,,,
410,CHOLINE CHLORIDE,,,
411,INULIN,,,
412,MAGNESIUM SULFATE,,,
413,L-TRYPTOPHAN,,,
414,IRON AMINO ACID CHELATE,,,
415,ZINC AMINO ACID CHELATE,,,
416,VITAMIN E SUPPLEMENT,,,
417,THIAMINE MONONITRATE,,,
418,COPPER AMINO ACID CHELATE,,,
419,MANGANESE AMINO ACID CHELATE,,,
420,SODIUM SELENITE,,,
421,NIACIN SUPPLEMENT,,,
422,d-CALCIUM PANTOTHENATE,,,
423,PYRIDOXINE HYDROCHLORIDE,,,
424,RIBOFLAVIN SUPPLEMENT,,,
425,VITAMIN A SUPPLEMENT,,,
426,BIOTIN,,,
427,POTASSIUM IODIDE,,,
428,VITAMIN D3 SUPPLEMENT,,,
429,VITAMIN B12 SUPPLEMENT,,,
430,FOLIC ACID,,,
431,Boar,,,
432,Dehydrated Boar,,,
433,Pea Starch,,,
434,Dehydrated Pork,,,
435,Pork Fat,,,
436,Dried Whole Eggs,,,
437,Herring,,,
438,Dehydrated Herring,,,
439,Herring Oil,,,
440,Hydrolyzed Fish,,,
441,Calcium Sulfate Dihydrate,,,
442,Monocalcium Phosphate,,,
443,Dried Carrot,,,
444,Suncured Alfalfa Meal,,,
445,Dried Beet Pulp,,,
446,Fructooligosaccharide,,,
447,Dried Apple,,,
448,Dried Pomegranate,,,
449,Dried Sweet Orange,,,
450,Psyllium Seed Husk,,,
451,Dried Blueberry,,,
452,Ascorbic Acid,,,
453,Thiamine Hydrochloride,,,
454,Zinc Methionine Hydroxy Analogue Chelate,,,
455,Manganese Methionine Hydroxy Analogue Chelate,,,
456,Ferrous Glycine,,,
457,Copper Methionine Hydroxy Analogue Chelate,,,
458,Dl- Methionine,,,
459,L-Carnitine,,,
460,Aloe Vera Gel Concentrate,,,
461,Mixed Tocopherols (A Preservative).,,,
462,Dried Egg Product,,,
463,Natural Chicken Flavor,,,
464,Chicken Fat (Preserved With Mixed Tocopherols And Citric Acid),,,
465,Ground Whole Flaxseed,,,
466,Tomato Pomace,,,
467,Calcium Sulfate,,,
468,Inulin (Prebiotic),,,
469,Niacin Supplement (Vitamin B3),,,
470,Riboflavin Supplement (Vitamin B2),,,
471,Ascorbic Acid (Preservative),,,
472,Citric Acid,,,
473,Tannic Acid.,,,
474,Natural Pork Flavor,,,
475,Dried Lentils,,,
476,Flaxseeds,,,
477,Citric Acid (Preservative),,,
478,Dried Aspergillus Niger Fermentation Product,,,
479,Menadione Sodium Disulfite Complex,,,
480,Freeze Dried Chicken,,,
481,Freeze Dried Chicken Liver,,,
482,Freeze Dried Chicken Heart,,,
483,Freeze Dried Pollock,,,
484,Lamb,,,
485,Pork,,,
486,Lamb Meal,,,
487,Mutton Meal,,,
488,Pork Meal,,,
489,Red Lentils,,,
490,Green Lentils,,,
491,Pork Fat (preserved with mixed tocopherols),,,
492,Goat,,,
493,Coconut flour,,,
494,Dandelion,,,
495,FRUCTOOLIGOSACCHARIDE,,,
496,Magnesium Proteinate,,,
497,Chia Oil,,,
498,Vitamin B5 Supplement,,,
499,Vitamin D Supplement.,,,
500,Chicken Broth,,,
501,Sunflower Seed Oil,,,
502,Dried Egg,,,
503,Vitamin K3 Supplement.,,,
504,Water Sufficient for Processing,,,
505,Lamb Heart,,,
506,Lamb Lung,,,
507,Lamb Liver,,,
508,Lamb Kidney,,,
509,Flaxseed Flakes,,,
510,Vitamin D3 Supplement.,,,
511,Water Sufficient For Cooking,,,
512,Apple,,,
513,Sunflower Oil,,,
514,Xanthan Gum,,,
515,Locust Bean Gum,,,
516,Minérals (Zinc Oxide,,,
517,Reduced Iron,,,
518,Manganese Sulfate Monohydrate,,,
519,Copper Glycine Complex,,,
520,Potassium Iodide),,,
521,Menadione Sodium Bisulfite Complex (Source Of Vitamin K Activity).,,,
522,Calcium Lactate,,,
523,Beef,,,
524,Chicken Skin,,,
525,Tuna Oil,,,
526,Vitamin E,,,
527,Thiamine Mononitrate (Source of Vitamin B1),,,
528,Nicotinic Add (Source of Vitamin B3),,,
529,Riboflavin Supplement (Source of Vitamin B2),,,
530,Pyridoxine Hydrochloride (Source of Vitamin B6),,,
531,Vitamin K3 Supplement,,,
532,Vitamin B12 Supplement.,,,
533,Sodium Acid Pyrophosphate,,,
534,Potassium iodide,,,
535,Biotin Supplement.,,,
536,Tuna Broth,,,
537,Sardine,,,
538,Calcium PantoTHNate,,,
539,Menadione Sodium Bisulfite Complex (Source Of Vitamin K),,,
540,Beef Broth,,,
541,Potato Starch,,,
542,Menadione Sodium Bisulfite Complex (Source Of Vitamin K).,,,
543,chicken liver,,,
544,tapioca,,,
545,sunflower oil,,,
546,calcium chloride,,,
547,vitamin E supplement,,,
548,zinc oxide,,,
549,reduced iron,,,
550,copper amino acid complex,,,
551,vitamin D3 supplement,,,
552,biotin supplement,,,
553,potassium iodide.,,,
554,Water Sufficient For Processing,,,
555,Dipotassium Phosphate,,,
556,Minerals (Magnesium Oxide,,,
557,Manganese Proteinate),,,
558,Vitamin D3 Supplement).,,,
559,Rabbit Meat,,,
560,Hare Meat,,,
561,Lamb Tripe,,,
562,Lamb Bone,,,
563,Minerals (Magnesium Sulfate,,,
564,Copper Amino Acid Complex),,,
565,Folic Acid).,,,
566,Beef Heart,,,
567,Hoki Fish,,,
568,Beef Tripe,,,
569,Beef Kidney,,,
570,Beef Liver,,,
571,Beef Lung,,,
572,Vitamins (Thiamine Mononitrate,,,
573,lentils,,,
574,turkey,,,
575,chicken gizzard,,,
576,fenugreek seed,,,
577,salmon oil,,,
578,sun-cured alfalfa,,,
579,tocopherols (preservative),,,
580,thyme,,,
581,rosemary,,,
582,sage,,,
583,calcium iodate,,,
584,d-calcium pantothenate,,,
585,dried Bifidobacterium longum fermentation product,,,
586,dried Bacillus coagulans fermentation product.,,,
587,Turkey Liver,,,
588,Guinea Fowl,,,
589,Quail,,,
590,Riboflavin Supplement Biotin,,,
591,Vitamin A Supplement Vitamin B12 Supplement,,,
592,Folic Acid.,,,
593,Guineafowl,,,
594,Natural Turkey Flavor,,,
595,Dandelion Greens,,,
596,Kelp*(Official Name Is Marine Microalgae),,,
597,Chia Seed Oil,,,
598,Minerals (Magnesium Proteinate,,,
599,Calcium Iodate).,,,
