id,name,brand,price,age_group,food_type,description,full_ingredient_list,embedding_id,image_url,shopping_url
160,"Wysong Epigen Starch-Free Chicken Formula Grain-Free Dry Dog & Cat Food, 5-lb bag",Wysong,,,Dry,"Ultra-high protein, meat-based diet is formulated to optimize your furry friend’s wellness with 60% protein and real organic chicken as the first ingredient.
Patent-pending extrusion process creates a truly starch-free diet that closely mirrors the diet he was biologically designed to eat.
Also features real fruits and vegetables, along with beneficial probiotics, antioxidants, vitamins and minerals; rich omega fatty acids help support healthy skin and a lustrous coat.
Made in the USA at Wysong’s manufacturing facilities with domestically-sourced, USDA and FDA-approved ingredients.
Serve as a complete meal, topper or incremental protein booster; also an ideal therapeutic aid for convalescence, strength enhancement, immune stimulation, weight loss, or any condition requiring a high-protein diet.","Organic Chicken, Chicken Meal, Turkey Meal, Potato Protein, Meat Protein Isolate, Chicken Fat (preserved with Mixed Tocopherols), Gelatin, Dried Plain Beet Pulp, Natural Flavor, Coconut Oil, Chia Seeds, Salt, Taurine, Calcium Carbonate, Dried Tomato Pomace, Calcium Propionate (a preservative), Choline Chloride, Dried Kelp, Organic Barley Grass Powder, Dried Blueberry Powder, Dried Yogurt, Apple Pectin, Dried Kale, Dried Spinach, Dried Carrots, Fish Oil, Yeast Extract, Citric Acid (a preservative), Inulin, Mixed Tocopherols (a preservative), Rosemary Extract, Yeast Culture, Minerals (Potassium Chloride, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Vitamins (Ascorbic Acid [source of Vitamin C], Vitamin E Supplement, Niacin Supplement, Calcium Pantothenate, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin D3 Supplement, Biotin, Vitamin B12 Supplement, Folic Acid), Dried Aspergillus Oryzae Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bacillus Subtilis Fermentation Product, Dried Lactobacillus Plantarum Fermentation Product, Dried Lactobacillus Lactis Fermentation Product, Pepper.",,https://catfooddb.com/img/products/wysong/150_epigen1.png,https://www.chewy.com/wysong-epigen-starch-free-chicken/dp/103306
164,"Go! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe Dry Cat Food, 16-lb bag",Go!,62.99,,Dry,"The first 7 ingredients and 84% of the protein in this recipe come from real, premium-quality meat and fish.
Contains maximum meat protein to support feline friends at every age, features antioxidant-rich cranberries to support urinary tract health and taurine for vision and heart health.
Contains 10 real animal ingredients, including de-boned chicken, turkey, duck and trout, with whole eggs and premium-quality salmon, duck and turkey meal. And there are zero by-product meals or artificial preservatives in here!
Paw-fect for indoor and outdoor cats, this recipe includes digestive enzymes, probiotics and prebiotic fiber from dried chicory root to support good gut bacteria and healthy digestion.
Crafted by a team of pet nutritionists to provide solutions for your cat’s unique dietary needs and care throughout life.","Chicken Meal, De-Boned Chicken, De-Boned Turkey, Duck Meal, Turkey Meal, Salmon Meal, De-Boned Trout, Chicken Fat (Preserved With Mixed Tocopherols), Natural Fish Flavor, Peas, Potatoes, Whole Dried Egg, Potato Flour, Tapioca, De-Boned Salmon, De-Boned Duck, Salmon Oil, Pumpkin, Apples, Carrots, Bananas, Blueberries, Cranberries, Lentils, Broccoli, Cottage Cheese, Alfalfa, Sweet Potatoes, Blackberries, Squash, Papayas, Pomegranate, Phosphoric Acid, Sodium Chloride, Potassium Chloride, Dl-Methionine, Taurine, Choline Chloride, Dried Chicory Root, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Aspergillus Oryzae Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract, Vitamins (Vitamin A Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Niacin, L-Ascorbyl-2-Polyphosphate (A Source Of Vitamin C), Thiamine Mononitrate, D-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Beta-Carotene, Folic Acid, Biotin, Vitamin B12 Supplement), Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Zinc Oxide, Manganese Proteinate, Copper Sulphate, Calcium Iodate, Ferrous Sulphate, Manganous Oxide, Sodium Selenite), Yucca Schidigera Extract, Dried Rosemary.",,"https://catfooddb.com/img/products/go! solutions/150_Carnivore_Grain-Free_Chicken,_Turkey_+_Duck_Recipe_dry.png",https://www.chewy.com/go-solutions-carnivore-grain-free/dp/189530
165,"Farmina Ocean Feline Cod, Shrimp & Pumpkin Review",Farmina,,,,"Nutritional Analysis*
Compared to the other 2849 cat foods in our database, Farmina Ocean Feline Cod, Shrimp & Pumpkin has:

more protein than average
significantly fewer carbohydrates than average
an average amount of fat
less fiber than average
In general, cats have been shown to do better with a higher protein, medium fat, lower carb diet with sufficient moisture. However, specialty diets as recommended by your veterinarian may prioritize a different nutritional breakdown.","When evaluating a cat food, the first five ingredients can tell you a lot about the quality of a product as they make up the bulk of the product. Ideally, you're looking for quality protein sources with a minimum of cheap starches, fillers or by-products. Continuing down the ingredient list, look for ingredients that resemble real food with a minimal number of unpronounceable chemicals - the same as you would for human food.",,"https://catfooddb.com/img/products/farmina/150_Ocean_Feline_Cod,_Shrimp_&_Pumpkin_wet.png",https://catfooddb.com/product/farmina/Ocean+Feline+Cod%2C+Shrimp+%26+Pumpkin
167,Fromm Beef & Venison Pâté Review,Fromm,,,,"Nutritional Analysis*
Compared to the other 2849 cat foods in our database, Fromm Beef & Venison Pâté has:

an average amount of protein
fewer carbohydrates than average
an average amount of fat
an average amount of fiber
In general, cats have been shown to do better with a higher protein, medium fat, lower carb diet with sufficient moisture. However, specialty diets as recommended by your veterinarian may prioritize a different nutritional breakdown.
Calorie Breakdown
Using the calculations provided by the AAFCO, Fromm Beef & Venison Pâté has approximately 87 calories per 100g (25 calories/ounce), which is an average amount of calories compared to the average of the other wet cat foods in the CatFoodDB.","When evaluating a cat food, the first five ingredients can tell you a lot about the quality of a product as they make up the bulk of the product. Ideally, you're looking for quality protein sources with a minimum of cheap starches, fillers or by-products. Continuing down the ingredient list, look for ingredients that resemble real food with a minimal number of unpronounceable chemicals - the same as you would for human food.",,https://catfooddb.com/img/products/fromm/150_Beef_Venison_P_t_wet.png,https://catfooddb.com/product/fromm/Beef+%26+Venison+P%C3%A2t%C3%A9
169,Catit Gold Fern - Air Dried Chicken,Catit Gold Fern,,,,"Overall, Catit Gold Fern - Air Dried Chicken is a significantly above average cat food, earning 9 out of a possible 10 paws based on its nutritional analysis and ingredient list. For more information on our cat food analysis techniques, please click here.","Chicken, Chicken Gizzards, Chicken Liver, Green Lipped Mussel, Fish Oil (preserved with Mixed Tocopherols), Natural Flavoring, Calcium Carbonate, Salt, Inulin, Brewer’s Yeast, Choline Chloride, Mixed Tocopherols, Taurine, Iron Proteinate, Zinc Oxide, Vitamin E Supplement, Niacin, Copper Sulfate, Thiamine Mononitrate, Sodium Selenite, Manganous Oxide, Vitamin A Supplement, d-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Folic Acid",,https://catfooddb.com/img/products/catit/150_ad-chicken.png,https://catfooddb.com/product/catit/Gold+Fern+-+Air+Dried+Chicken
174,The Honest Kitchen Minced Chicken In Bone Broth Gravy,The Honest Kitchen,17.86,,Wet,"Proudly made in the USA!
Made with 100% natural human-grade ingredients and produced in a human food facility.
Created with a vet nutritionist to support the overall health of your feline fur-iend.
Free of artificial preservatives and flavors, feed-grade by-products, meat meals, grains, fillers and GMO ingredients.
Made from minced whole muscle and organ meats from cage-free chicken in a savory bone broth gravy to stimulate your kitty’s carnivorous appetite!","Chicken, chicken broth, pumpkin, carrots, blueberries, cranberries, natural chicken flavor, agar agar, dandelion greens, calcium carbonate, potassium chloride, magnesium proteinate, tricalcium phosphate, vitamins [vitamin E supplement, vitamin A supplement, niacin supplement, calcium pantothenate (vitamin B5), thiamine mononitrate (vitamin B1), riboflavin (vitamin B2), pyridoxine hydrochloride (vitamin B6), folic acid, biotin (vitamin B7), vitamin B12 supplement, vitamin D3 supplement], choline chloride, taurine, minerals [copper proteinate, iron proteinate, manganese proteinate, potassium iodide, zinc proteinate, sodium selenite], yucca schidigera extract, turmeric, salmon oil.",,https://catfooddb.com/img/products/the honest kitchen/150_Minced_Chicken_In_Bone_Broth_Gravy_wet.png,https://www.chewy.com/honest-kitchen-grain-free-minced/dp/350622
170,Only Natural Pet Powerfusion Poultry Dinner,Only Natural Pet,,,,"In this case, Only Natural Pet Powerfusion Poultry Dinner's most plentiful ingredient listed is chicken, which is considered a quality protein source. It also contains turkey meal and chicken meal as additional quality protein sources.
Additionally, it's worth noting that this product does not list either by-products nor bulk-adding fillers within its top ingredients. By-products are considered inferior, lesser quality ingredients. Common fillers typically used to add bulk to the product are not required in your cat's diet. Together, their combined absence may be indicative of a higher quality product.

Allergen alert: This product contains salmon oil, new zealand green mussel and dried goat milk which may be problematic for cats who suffer from seafood or dairy food allergies.","Chicken, Turkey Meal, Chicken Meal, Garbanzo Beans, Chicken Fat (Preserved With Mixed Tocopherols), Pea Protein, Pea Fiber, Tapioca Starch, Natural Flavor, Salmon Oil (Preserved With Mixed Tocopherols), Turkey Hearts, Dried Sweet Potatoes, Dried Chicory Root, Flaxseed, Carrots, Broccoli, Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Vitamin D3 Supplement], Dried Kale, Minerals [Zinc Proteinate, Calcium Carbonate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite], Dried Aspergillus oryzae Fermentation Product (Source Of Amylase, Lipase and Protease), Choline Chloride, DL-Methionine, Mixed Tocopherols And Citric Acid (Preservatives), Rosemary Extract, Taurine, Dried Goat Milk, Blueberries, Pineapple Stems, Turmeric, New Zealand Green Mussel, Dried Pumpkin, Dried Bacillus Coagulans Fermentation Product",,https://catfooddb.com/img/products/only natural pet/150_Powerfusion_Poultry_Dinner_dry.png,https://catfooddb.com/product/only natural pet/Powerfusion+Poultry+Dinner
171,Instinct Ultimate Protein Cage-Free Duck Recipe (Dry),Instinct,37.67,,Dry,"Made in the USA using premium ingredients from around the world.
90% of the protein in this recipe comes from real duck, chicken and eggs—it contains no animal meals of any kind.
Thoughtfully crafted for easy digestion and optimal nutrient absorption.
Live probiotics, natural omegas and antioxidants work together to support healthy digestion, a strong immune system, soft skin and a shiny coat.
Contains zero grains, potatoes, corn, wheat, soy, by-product meals, artificial colors or preservatives.","Duck, Chicken, Chicken Eggs, Tapioca, Ground Flaxseed, Canola Oil (preserved with Mixed Tocopherols and Citric Acid), Natural Flavor, Dried Tomato Pomace, Dried Whey Protein Concentrate, Dicalcium Phosphate, Potassium Chloride, Salt, Vitamins (Vitamin E Supplement, Niacin Supplement, L-Ascorbyl-2-Polyphosphate, Thiamine Mononitrate, d-Calcium Pantothenate, Vitamin A Supplement, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement, Biotin), Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Ethylenediamine Dihydriodide), Montmorillonite Clay, Choline Chloride, Taurine, Freeze Dried Duck (including Freeze Dried Ground Duck Bone), Pumpkinseeds, Dried Bacillus coagulans Fermentation Product, Rosemary Extract.",,https://catfooddb.com/img/products/instinct/150_Ultimate_Protein_Cage-Free_Duck_Recipe_(Dry)_dry.png,https://www.chewy.com/instinct-by-natures-variety-ultimate/dp/113463
172,"Wellness Core Original Original: Deboned Turkey, Turkey Meal & Chicken Meal",Wellness,27.81,,,"Real deboned turkey and deboned chicken are the first two ingredients in this protein-rich, nutrient-dense recipe; contains no meat by-products or fillers.
Flaxseed and salmon oil provide essential omega-3 fatty acids to support healthy skin and a smooth, lustrous coat.
Antioxidants including cranberries offer naturally unique dietary contributions and overall immunity support.
Fortified with vitamins and minerals for whole body health; proprietary Acticoat probiotic coating helps support healthy digestion.
Made in the USA from the world’s finest ingredients without the use of wheat, wheat-gluten, corn, soy or eggs; contains no artificial preservatives, colors or flavors.","Deboned Turkey, Deboned Chicken, Turkey Meal, Chicken Meal (source of Glucosamine and Chondroitin Sulfate), Peas, Chicken Fat, Herring Meal, Dried Plain Beet Pulp, Dried Ground Potatos, Flaxseed, Natural Flavor, Salmon Oil, Calcium Chloride, Choline Chloride, Cranberries, Dried Chicory Root, Hydrolyzed Yeast, Taurine, Vitamin E Supplement, Dried Kelp, Mixed Tocopherols added to preserve freshness, Vitamin C (L-ascorbyl-2-polyphosphate), Niacin, Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Yucca Schidigera Extract, Vitamin A Supplement, Thiamine Mononitrate, Copper Sulfate, d-Calcium Pantothenate, Copper Proteinate, Sodium Selenite, Pyridoxine Hydrochloride, Manganese Sulfate, Riboflavin, Manganese Proteinate, Biotin, Vitamin D3 Supplement, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Vitamin C (Ascorbic Acid), Dried Enterococcus faecium Fermentation Product, Dried Bacillus licheniformis Fermentation Product, Dried Bacillus subtilis Fermentation Product, Rosemary Extract, Green Tea Extract, Spearmint Extract.
This is a naturally preserved product
Manufactured in a facility that also processes grains",,"https://catfooddb.com/img/products/wellness/150_Core_Original_Original:_Deboned_Turkey,_Turkey_Meal___Chicken_Meal_dry.png",https://www.chewy.com/wellness-core-grain-free-original/dp/146754
173,Addiction Wild Islands Island Birds,Addiction,,,,"In this case, Addiction Wild Islands Island Birds's most plentiful ingredient listed is chicken, which is considered a quality protein source. It also contains duck, turkey, chicken liver and chicken meal as additional quality protein sources.
Additionally, it's worth noting that this product does not list either by-products nor bulk-adding fillers within its top ingredients. By-products are considered inferior, lesser quality ingredients. Common fillers typically used to add bulk to the product are not required in your cat's diet. Together, their combined absence may be indicative of a higher quality product.

Allergen alert: This product contains fish meal, green-lipped mussel and eggs which may be problematic for cats who suffer from seafood or eggs food allergies.","Chicken, Duck, Turkey, Chicken Liver, Chicken Meal, Eggs, Peas, Fish Meal, Fava Beans, Pea Protein, Flaxseed, Green-lipped Mussel, Manuka Honey, Kiwifruit, Tapioca, Chicken Fat, Brewers Dried Yeast, Natural Flavor, Natural Buffered Vinegar, Choline Chloride, Potassium Chloride, Taurine, DL-Methionine, Zinc Amino Acid Complex, Iron Amino Acid Complex, Calcium Carbonate, Niacin (Vitamin B3), Vitamin E Supplement, Copper Amino Acid Complex, Manganese Amino Acid Complex, Thiamine Mononitrate (Vitamin B1), d-Calcium Pantothenate (Vitamin B5), Sodium Selenite, Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Supplement, Biotin, Vitamin B12 Supplement, Cobalt Sulfate, Folic Acid, Calcium Iodate, Vitamin K1 Supplement, Vitamin D3 Supplement, Mixed Tocopherols (for added freshness), Rosemary Extract, Tea Extract, Spearmint Extract",,https://catfooddb.com/img/products/addiction/150_island-birds.png,https://catfooddb.com/product/addiction/Wild+Islands+Island+Birds
185,Feline Natural Chicken & Lamb Pouch,Feline Natural,23.26,,Wet,"Grain-free, chicken and lamb flavored cat food pouches that are made in New Zealand.
Filled with meat and low in carbs–each pouch offers a complete and balanced diet for all your cat’s life stages.
Pouches come in a convenient, single serve portion and are perfect if your pal is a picky eater.
Mixed with fresh New Zealand water for added hydration.
No gelling agents, binders or gums.","Chicken, Water Sufficient for Processing, Lamb Heart, Lamb Lung, Lamb Liver, Lamb Kidney, New Zealand Green Mussel, Flaxseed Flakes, Dried Kelp, Taurine, Vitamin E Supplement, Magnesium Oxide, Zinc Proteinate, Copper Proteinate, Manganese Proteinate, Thiamine Mononitrate, Folic Acid, Vitamin D3 Supplement.",,https://catfooddb.com/img/products/feline natural/150_Chicken___Lamb_Pouch_wet.png,https://www.chewy.com/feline-natural-chicken-lamb-feast/dp/303898
175,Nulo Freestyle High-Meat Kibble Turkey & Duck Recipe,Nulo,42.09,,Dry,"This high-protein, natural, cat and kitten food features real deboned turkey as the #1 ingredient, and the top 3 ingredients are high-quality animal proteins for essential amino acids.
A balanced blend of omega-3 and omega-6 fatty acids helps promote healthy skin and a soft, shiny coat—giving your cat or kitten the nourishment they need to look and feel their best.
Formulated with prebiotic fiber and guaranteed BC30 probiotics, this recipe supports healthy digestion and helps maintain a healthy gut and strong immune system—great for felines with sensitive systems.
The small, disc-shaped kibble is fortified with taurine to support heart function, vision health, and overall well-being—promoting your furbaby’s healthy heart and active life.
Made in the USA with the finest, nutrient-rich ingredients from around the world, and free of grains, corn, wheat, soy, white potatoes, and tapioca.","Deboned Turkey, Turkey Meal, Menhaden Fish Meal, Whole Peas, Lentils, Chicken Fat (Preserved With Mixed Tocopherols & Citric Acid), Deboned Cod, Sweet Potato, Deboned Duck, Natural Flavor, Ground Miscanthus Grass, Chickpeas, Ground Flaxseed, Choline Chloride, Dried Chicory Root, Salt, Dried Kelp, DL-Methionine, Dried Cranberries, Potassium Chloride, Vitamin E Supplement, Yucca Schidigera Extract, Taurine, Zinc Proteinate, Zinc Sulfate, Iron Proteinate, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Iron Sulfate, Niacin Supplement, Copper Proteinate, Copper Sulfate, Manganese Proteinate, Vitamin A Supplement, Thiamine Mononitrate, D-Calcium Pantothenate, Riboflavin Supplement, Dried Bacillus Coagulans Fermentation Product, Pyridoxine Hydrochloride, Manganous Oxide, Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement, Ethylenediamine Dihydroiodide, Folic Acid, Sodium Selenite, Calcium Iodate, Rosemary Extract.",,https://catfooddb.com/img/products/nulo/150_Freestyle_High-Meat_Kibble_Turkey_Duck_Recipe_dry.png,https://www.chewy.com//nulo-freestyle-grain-free-turkey/dp/127029
176,Nulo Freestyle Duck & Tuna Recipe,Nulo,36.39,,,"Nulo Grain-Free Duck & Tuna Recipe Pate Wet Canned Food for Cats & Kittens, 5.5-oz, case of 24
Made with high-quality protein like real duck, chicken, turkey liver and tuna, and never any meat by-product.
High-protein recipe made free from GMOs.
Contains superfoods like cranberries, kelp, and pumpkin, plus vitamins, minerals, omegas, and taurine to support your cat’s health.
Grain-free recipe made free of corn, wheat, or soy for sensitive cats and kittens.
Features real fruits and vegetables to promote a healthy immune system.","Duck, Chicken, Duck Broth, Chicken Liver, Tuna, Natural Flavor, Guar Gum, Potassium Chloride, Agar-Agar, Choline Chloride, Taurine, Pumpkin, Cranberries, Menhaden Fish Oil (preserved with Mixed Tocopherols), Tomato, Kelp, Yucca Schidigera Extract, Salt, Iron Proteinate, Sodium Carbonate, Zinc Proteinate, Thiamine Mononitrate, Vitamin E Supplement, Magnesium Sulfate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Niacin Supplement, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Vitamin A Supplement, Biotin, Potassium Iodide, Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid, Rosemary Extract",,https://catfooddb.com/img/products/nulo/150_Freestyle_Duck_Tuna_Recipe_wet.png,https://www.chewy.com//nulo-freestyle-duck-tuna-recipe/dp/122868
177,Life's Abundance All Life Stage Grain Free,Life's Abundance,,,,"Life's Abundance All Life Stage Grain Free's most plentiful ingredient listed is chicken meal, which is considered a quality protein source. It also contains turkey meal as additional quality protein sources.
Additionally, it's worth noting that this product does not list either by-products nor bulk-adding fillers within its top ingredients. By-products are considered inferior, lesser quality ingredients. Common fillers typically used to add bulk to the product are not required in your cat's diet. Together, their combined absence may be indicative of a higher quality product.

Allergen alert: This product contains fish oil, whitefish meal and egg product which may be problematic for cats who suffer from seafood or eggs food allergies.","Chicken Meal, Egg Product, Turkey Meal, Sweet Potatoes, Potatoes, Field Peas, Chicken Fat (preserved with Mixed Tocopherols), Natural Flavors, Dried Tomato Pomace, Fish Oil, Whitefish Meal, Flaxseed Meal, Yeast Culture, Choline Chloride, Sodium Bisulfate, DL-Methionine, Salt, Taurine, Inulin, Yeast Extract, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Vitamin E Supplement, Potassium Chloride, Cranberries, Pumpkin, Zinc Proteinate, Dog Grass Extract, Alfalfa Sprouts, Zinc Sulfate, Manganese Proteinate, Beta-Carotene, Niacin Supplement, Manganese Sulfate, Inositol, Ferrous Sulfate, Copper Proteinate, Iron Proteinate, Thiamine Mononitrate, Zinc Oxide, Riboflavin Supplement, Pyridoxine Hydrochloride, d-Calcium Pantothenate, Biotin, Manganous Oxide, Vitamin A Acetate, Potassium Iodide, Vitamin D3 Supplement, Vitamin B12 Supplement, Sodium Selenite, Folic Acid, Dried Lactobacillus casei Fermentation Product, Dried Lactobacillus acidophilus Fermentation Product, Dried Bifidobacterium animalis Fermentation Product, Dried Lactobacillus reuteri Fermentation Product",,https://catfooddb.com/img/products/lifes_abundance/150_all-life-stage-dry-gf.png,https://catfooddb.com/product/life's abundance/All+Life+Stage+Grain+Free
178,Life's Abundance Pork & Duck,Life's Abundance,,,,"Life's Abundance Pork & Duck's most plentiful ingredient listed is pork, which is considered a quality protein source. It also contains duck and pork liver as additional quality protein sources.
Additionally, it's worth noting that this product does not list either by-products nor bulk-adding fillers within its top ingredients. By-products are considered inferior, lesser quality ingredients. Common fillers typically used to add bulk to the product are not required in your cat's diet. Together, their combined absence may be indicative of a higher quality product.

Allergen alert: This product contains fish oil and new zealand green mussel which may be problematic for cats who suffer from seafood food allergies.","PORK, DUCK, PORK BROTH, PORK LIVER, GROUND FLAXSEED, SUNFLOWER OIL, FISH OIL (PRESERVED WITH MIXED TOCOPHEROLS), TRICALCIUM PHOSPHATE, NEW ZEALAND GREEN MUSSEL, POTASSIUM CHLORIDE, TAURINE, SALT, CHOLINE CHLORIDE, INULIN, MAGNESIUM SULFATE, L-TRYPTOPHAN, IRON AMINO ACID CHELATE, ZINC AMINO ACID CHELATE, VITAMIN E SUPPLEMENT, THIAMINE MONONITRATE, COPPER AMINO ACID CHELATE, MANGANESE AMINO ACID CHELATE, SODIUM SELENITE, NIACIN SUPPLEMENT, d-CALCIUM PANTOTHENATE, PYRIDOXINE HYDROCHLORIDE, RIBOFLAVIN SUPPLEMENT, VITAMIN A SUPPLEMENT, BIOTIN, POTASSIUM IODIDE, VITAMIN D3 SUPPLEMENT, VITAMIN B12 SUPPLEMENT, FOLIC ACID",,https://catfooddb.com/img/products/lifes_abundance/150_pork-duck.png,https://catfooddb.com/product/life's abundance/Pork+%26+Duck
